Additional_outlet_count,Call,Cost_for_two(Rs.),Cuisines,Features,Home_Delivery,Operational_hours,Restaurant_Location,Restaurant_Name,Restaurant_Type,View_Menu,Min_Order(Rs.),Delivery_Time(mins),Rating,Votes,Rating_Category,Operational_after_Midnight,Cuisine_count,Feature_Count,Res_Type_Count,Competitors_in_Location,Score
1.0,True,1500,"Finger Food, Continental, European, Italian","Food Hygiene Rated Restaurants In Mumbai, Best of Mumbai",False,12noon – 1am (Mon-Sun),Kamala Mills Compound,Lord of the Drinks,"Lounge,Casual Dining",True,,,4.9,1326.0,Excellent,True,4,2,2,19.0,48.00080572061638
1.0,True,800,Pizza,"Value For Money, Best of Mumbai",False,11am – 12:30AM (Mon-Sun),Malad West,Joey's Pizza,Quick Bites,True,,,4.6,5974.0,Excellent,True,1,2,1,209.0,71.95029537301043
,True,2500,Seafood,"Super Seafood, Best of Mumbai",False,"Closed (Mon),12noon – 3pm, 7pm – 12midnight...",Bandra West,Bastian,"Casual Dining,Bar",True,,,4.5,1438.0,Excellent,False,1,2,2,241.0,43.1603696590621
,True,1800,"Finger Food, Continental","Where's The Party?, Best of Mumbai, Food Hygiene Rated Restaurants In Mumbai",False,12noon – 1am (Mon-Sun),Lower Parel,Tamasha,"Lounge,Bar",True,,,4.9,3275.0,Excellent,True,2,3,2,125.0,59.77842683049653
2.0,True,450,"North Indian, Street Food, Fast Food, Chinese",nan,True,"12noon – 4pm, 7pm – 11:45pm (Mon-Sun)",Vashi,Bhagat Tarachand,Casual Dining,True,0.0,45.0,4.1,1422.0,Very Good,False,4,1,1,116.0,37.54644180578659
,True,1600,"Modern Indian, European, Pizza, Grill","Best of Mumbai, Food Hygiene Rated Restaurants In Mumbai",False,1pm – 1am (Mon-Sun),Bandra West,JLWA,"Casual Dining,Bar",True,,,4.8,1989.0,Excellent,True,4,2,2,241.0,50.62794114071979
,True,800,"American, Asian, Street Food, Indian, Lucknowi, Mexican, Chinese, Italian",nan,True,12noon – 1am (Mon-Sun),Flea Bazaar Café,Flea Bazaar Café,Café,True,0.0,30.0,4.4,1424.0,Very Good,True,8,1,1,5.0,41.69645864951501
3.0,True,1200,Modern Indian,Best of Mumbai,True,12noon – 1:30am (Mon-Sun),Bandra Kurla Complex,HITCHKI,"Casual Dining,Bar",True,99.0,45.0,4.7,2640.0,Excellent,True,1,1,2,38.0,53.18256170534936
,True,2800,"Asian, Cantonese, Chinese, Tea, Yum Cha",Best of Mumbai,False,12noon – 1am (Mon-Sun),Bandra Kurla Complex,Yauatcha,Fine Dining,True,,,4.7,4752.0,Excellent,True,5,1,1,38.0,65.94517626874949
,True,700,"Cafe, Fast Food",nan,False,10:30am – 10:30pm (Mon-Sun),Juhu,Prithvi Cafe,Café,True,,,4.4,7065.0,Very Good,False,2,1,1,100.0,75.78448362685411
